Data Set,family_forming_threshold,family_merging_threshold,maximum_family_size,source_of_siblings,source_of_families,family_distance_method,Number of sibling pairs (wrt linkage),Number of sibling pairs (wrt ground truth),True  Positives,False Positives,False Negatives,Precision,Recall,F1 Measure
kilmarnock,2,2,8,Birth,Birth,Closest,42378,68271,42034,344,26237,0.9919,0.6157,0.7598
kilmarnock,2,2,8,Birth,Birth,Furthest,42378,68271,42034,344,26237,0.9919,0.6157,0.7598
kilmarnock,2,2,8,Birth,Birth,Mean,42378,68271,42034,344,26237,0.9919,0.6157,0.7598
kilmarnock,2,2,8,Birth,Death,Closest,33200,68271,32831,369,35440,0.9889,0.4809,0.6471
kilmarnock,2,2,8,Birth,Death,Furthest,33194,68271,32825,369,35446,0.9889,0.4808,0.647
kilmarnock,2,2,8,Birth,Death,Mean,33200,68271,32831,369,35440,0.9889,0.4809,0.6471
kilmarnock,2,2,8,Birth,Marriage,Closest,16553,68271,16497,56,51774,0.9966,0.2416,0.389
kilmarnock,2,2,8,Birth,Marriage,Furthest,16553,68271,16497,56,51774,0.9966,0.2416,0.389
kilmarnock,2,2,8,Birth,Marriage,Mean,16553,68271,16497,56,51774,0.9966,0.2416,0.389
kilmarnock,2,2,20,Birth,Birth,Closest,46416,68271,45989,427,22282,0.9908,0.6736,0.802
kilmarnock,2,2,20,Birth,Birth,Furthest,46416,68271,45989,427,22282,0.9908,0.6736,0.802
kilmarnock,2,2,20,Birth,Birth,Mean,46416,68271,45989,427,22282,0.9908,0.6736,0.802
kilmarnock,2,2,20,Birth,Death,Closest,40201,68271,39719,482,28552,0.988,0.5818,0.7323
kilmarnock,2,2,20,Birth,Death,Furthest,40195,68271,39713,482,28558,0.988,0.5817,0.7323
kilmarnock,2,2,20,Birth,Death,Mean,40201,68271,39719,482,28552,0.988,0.5818,0.7323
kilmarnock,2,2,20,Birth,Marriage,Closest,20250,68271,20094,156,48177,0.9923,0.2943,0.454
kilmarnock,2,2,20,Birth,Marriage,Furthest,20250,68271,20094,156,48177,0.9923,0.2943,0.454
kilmarnock,2,2,20,Birth,Marriage,Mean,20250,68271,20094,156,48177,0.9923,0.2943,0.454
kilmarnock,2,2,30,Birth,Birth,Closest,46416,68271,45989,427,22282,0.9908,0.6736,0.802
kilmarnock,2,2,30,Birth,Birth,Furthest,46416,68271,45989,427,22282,0.9908,0.6736,0.802
kilmarnock,2,2,30,Birth,Birth,Mean,46416,68271,45989,427,22282,0.9908,0.6736,0.802
kilmarnock,2,2,30,Birth,Death,Closest,40201,68271,39719,482,28552,0.988,0.5818,0.7323
kilmarnock,2,2,30,Birth,Death,Furthest,40195,68271,39713,482,28558,0.988,0.5817,0.7323
kilmarnock,2,2,30,Birth,Death,Mean,40201,68271,39719,482,28552,0.988,0.5818,0.7323
kilmarnock,2,2,30,Birth,Marriage,Closest,20250,68271,20094,156,48177,0.9923,0.2943,0.454
kilmarnock,2,2,30,Birth,Marriage,Furthest,20250,68271,20094,156,48177,0.9923,0.2943,0.454
kilmarnock,2,2,30,Birth,Marriage,Mean,20250,68271,20094,156,48177,0.9923,0.2943,0.454
kilmarnock,2,5,8,Birth,Birth,Closest,44574,68271,43173,1401,25098,0.9686,0.6324,0.7652
kilmarnock,2,5,8,Birth,Birth,Furthest,44556,68271,43173,1383,25098,0.969,0.6324,0.7653
kilmarnock,2,5,8,Birth,Birth,Mean,44582,68271,43173,1409,25098,0.9684,0.6324,0.7651
kilmarnock,2,5,8,Birth,Death,Closest,33848,68271,32377,1471,35894,0.9565,0.4742,0.6341
kilmarnock,2,5,8,Birth,Death,Furthest,33787,68271,32379,1408,35892,0.9583,0.4743,0.6345
kilmarnock,2,5,8,Birth,Death,Mean,33910,68271,32398,1512,35873,0.9554,0.4745,0.6341
kilmarnock,2,5,8,Birth,Marriage,Closest,16401,68271,16254,147,52017,0.991,0.2381,0.3839
kilmarnock,2,5,8,Birth,Marriage,Furthest,16401,68271,16254,147,52017,0.991,0.2381,0.3839
kilmarnock,2,5,8,Birth,Marriage,Mean,16401,68271,16254,147,52017,0.991,0.2381,0.3839
kilmarnock,2,5,20,Birth,Birth,Closest,52054,68271,47730,4324,20541,0.9169,0.6991,0.7934
kilmarnock,2,5,20,Birth,Birth,Furthest,51734,68271,47720,4014,20551,0.9224,0.699,0.7953
kilmarnock,2,5,20,Birth,Birth,Mean,51925,68271,47730,4195,20541,0.9192,0.6991,0.7942
kilmarnock,2,5,20,Birth,Death,Closest,44900,68271,40785,4115,27486,0.9084,0.5974,0.7208
kilmarnock,2,5,20,Birth,Death,Furthest,44557,68271,40776,3781,27495,0.9151,0.5973,0.7228
kilmarnock,2,5,20,Birth,Death,Mean,44723,68271,40785,3938,27486,0.9119,0.5974,0.7219
kilmarnock,2,5,20,Birth,Marriage,Closest,20648,68271,20142,506,48129,0.9755,0.295,0.453
kilmarnock,2,5,20,Birth,Marriage,Furthest,20648,68271,20142,506,48129,0.9755,0.295,0.453
kilmarnock,2,5,20,Birth,Marriage,Mean,20648,68271,20142,506,48129,0.9755,0.295,0.453
kilmarnock,2,5,30,Birth,Birth,Closest,53202,68271,47730,5472,20541,0.8971,0.6991,0.7859
kilmarnock,2,5,30,Birth,Birth,Furthest,52629,68271,47720,4909,20551,0.9067,0.699,0.7894
kilmarnock,2,5,30,Birth,Birth,Mean,53381,68271,47730,5651,20541,0.8941,0.6991,0.7847
kilmarnock,2,5,30,Birth,Death,Closest,46496,68271,40833,5663,27438,0.8782,0.5981,0.7116
kilmarnock,2,5,30,Birth,Death,Furthest,45493,68271,40826,4667,27445,0.8974,0.598,0.7177
kilmarnock,2,5,30,Birth,Death,Mean,45837,68271,40829,5008,27442,0.8907,0.598,0.7156
kilmarnock,2,5,30,Birth,Marriage,Closest,20648,68271,20142,506,48129,0.9755,0.295,0.453
kilmarnock,2,5,30,Birth,Marriage,Furthest,20648,68271,20142,506,48129,0.9755,0.295,0.453
kilmarnock,2,5,30,Birth,Marriage,Mean,20648,68271,20142,506,48129,0.9755,0.295,0.453
kilmarnock,2,8,8,Birth,Birth,Closest,48288,68271,43632,4656,24639,0.9036,0.6391,0.7487
kilmarnock,2,8,8,Birth,Birth,Furthest,48184,68271,43632,4552,24639,0.9055,0.6391,0.7493
kilmarnock,2,8,8,Birth,Birth,Mean,48363,68271,43644,4719,24627,0.9024,0.6393,0.7484
kilmarnock,2,8,8,Birth,Death,Closest,32022,68271,27747,4275,40524,0.8665,0.4064,0.5533
kilmarnock,2,8,8,Birth,Death,Furthest,31851,68271,27755,4096,40516,0.8714,0.4065,0.5544
kilmarnock,2,8,8,Birth,Death,Mean,32077,68271,27761,4316,40510,0.8654,0.4066,0.5533
kilmarnock,2,8,8,Birth,Marriage,Closest,16161,68271,14602,1559,53669,0.9035,0.2139,0.3459
kilmarnock,2,8,8,Birth,Marriage,Furthest,16090,68271,14608,1482,53663,0.9079,0.214,0.3463
kilmarnock,2,8,8,Birth,Marriage,Mean,16119,68271,14597,1522,53674,0.9056,0.2138,0.3459
kilmarnock,2,8,20,Birth,Birth,Closest,75538,68271,48696,26842,19575,0.6447,0.7133,0.6772
kilmarnock,2,8,20,Birth,Birth,Furthest,73841,68271,48649,25192,19622,0.6588,0.7126,0.6847
kilmarnock,2,8,20,Birth,Birth,Mean,75011,68271,48716,26295,19555,0.6495,0.7136,0.68
kilmarnock,2,8,20,Birth,Death,Closest,62023,68271,39691,22332,28580,0.6399,0.5814,0.6093
kilmarnock,2,8,20,Birth,Death,Furthest,60383,68271,39724,20659,28547,0.6579,0.5819,0.6175
kilmarnock,2,8,20,Birth,Death,Mean,61562,68271,39626,21936,28645,0.6437,0.5804,0.6104
kilmarnock,2,8,20,Birth,Marriage,Closest,26577,68271,19715,6862,48556,0.7418,0.2888,0.4157
kilmarnock,2,8,20,Birth,Marriage,Furthest,26037,68271,19752,6285,48519,0.7586,0.2893,0.4189
kilmarnock,2,8,20,Birth,Marriage,Mean,26311,68271,19727,6584,48544,0.7498,0.289,0.4171
kilmarnock,2,8,30,Birth,Birth,Closest,89243,68271,48770,40473,19501,0.5465,0.7144,0.6192
kilmarnock,2,8,30,Birth,Birth,Furthest,84405,68271,48701,35704,19570,0.577,0.7133,0.638
kilmarnock,2,8,30,Birth,Birth,Mean,87518,68271,48758,38760,19513,0.5571,0.7142,0.6259
kilmarnock,2,8,30,Birth,Death,Closest,74312,68271,40205,34107,28066,0.541,0.5889,0.564
kilmarnock,2,8,30,Birth,Death,Furthest,71073,68271,40211,30862,28060,0.5658,0.589,0.5771
kilmarnock,2,8,30,Birth,Death,Mean,73668,68271,40330,33338,27941,0.5475,0.5907,0.5683
kilmarnock,2,8,30,Birth,Marriage,Closest,29242,68271,19947,9295,48324,0.6821,0.2922,0.4091
kilmarnock,2,8,30,Birth,Marriage,Furthest,28681,68271,19975,8706,48296,0.6965,0.2926,0.4121
kilmarnock,2,8,30,Birth,Marriage,Mean,29004,68271,20025,8979,48246,0.6904,0.2933,0.4117
kilmarnock,2,10,8,Birth,Birth,Closest,49652,68271,43158,6494,25113,0.8692,0.6322,0.732
kilmarnock,2,10,8,Birth,Birth,Furthest,49453,68271,43154,6299,25117,0.8726,0.6321,0.7331
kilmarnock,2,10,8,Birth,Birth,Mean,49903,68271,43182,6721,25089,0.8653,0.6325,0.7308
kilmarnock,2,10,8,Birth,Death,Closest,25802,68271,18907,6895,49364,0.7328,0.2769,0.402
kilmarnock,2,10,8,Birth,Death,Furthest,25435,68271,18889,6546,49382,0.7426,0.2767,0.4032
kilmarnock,2,10,8,Birth,Death,Mean,26096,68271,18950,7146,49321,0.7262,0.2776,0.4016
kilmarnock,2,10,8,Birth,Marriage,Closest,14695,68271,10765,3930,57506,0.7326,0.1577,0.2595
kilmarnock,2,10,8,Birth,Marriage,Furthest,14526,68271,10802,3724,57469,0.7436,0.1582,0.2609
kilmarnock,2,10,8,Birth,Marriage,Mean,14775,68271,10828,3947,57443,0.7329,0.1586,0.2608
kilmarnock,2,10,20,Birth,Birth,Closest,97921,68271,48305,49616,19966,0.4933,0.7075,0.5813
kilmarnock,2,10,20,Birth,Birth,Furthest,94015,68271,48310,45705,19961,0.5139,0.7076,0.5954
kilmarnock,2,10,20,Birth,Birth,Mean,98285,68271,48357,49928,19914,0.492,0.7083,0.5807
kilmarnock,2,10,20,Birth,Death,Closest,74057,68271,32199,41858,36072,0.4348,0.4716,0.4525
kilmarnock,2,10,20,Birth,Death,Furthest,71309,68271,32327,38982,35944,0.4533,0.4735,0.4632
kilmarnock,2,10,20,Birth,Death,Mean,74646,68271,32697,41949,35574,0.438,0.4789,0.4576
kilmarnock,2,10,20,Birth,Marriage,Closest,37283,68271,17028,20255,51243,0.4567,0.2494,0.3226
kilmarnock,2,10,20,Birth,Marriage,Furthest,35487,68271,17101,18386,51170,0.4819,0.2505,0.3296
kilmarnock,2,10,20,Birth,Marriage,Mean,36738,68271,17054,19684,51217,0.4642,0.2498,0.3248
kilmarnock,2,10,30,Birth,Birth,Closest,135452,68271,48457,86995,19814,0.3577,0.7098,0.4757
kilmarnock,2,10,30,Birth,Birth,Furthest,128132,68271,48446,79686,19825,0.3781,0.7096,0.4933
kilmarnock,2,10,30,Birth,Birth,Mean,134603,68271,48533,86070,19738,0.3606,0.7109,0.4785
kilmarnock,2,10,30,Birth,Death,Closest,106710,68271,33757,72953,34514,0.3163,0.4945,0.3858
kilmarnock,2,10,30,Birth,Death,Furthest,101581,68271,33880,67701,34391,0.3335,0.4963,0.3989
kilmarnock,2,10,30,Birth,Death,Mean,106995,68271,34143,72852,34128,0.3191,0.5001,0.3896
kilmarnock,2,10,30,Birth,Marriage,Closest,50936,68271,17861,33075,50410,0.3507,0.2616,0.2997
kilmarnock,2,10,30,Birth,Marriage,Furthest,47347,68271,17828,29519,50443,0.3765,0.2611,0.3084
kilmarnock,2,10,30,Birth,Marriage,Mean,48874,68271,17697,31177,50574,0.3621,0.2592,0.3021
kilmarnock,5,2,8,Birth,Birth,Closest,42378,68271,42034,344,26237,0.9919,0.6157,0.7598
kilmarnock,5,2,8,Birth,Birth,Furthest,42378,68271,42034,344,26237,0.9919,0.6157,0.7598
kilmarnock,5,2,8,Birth,Birth,Mean,42378,68271,42034,344,26237,0.9919,0.6157,0.7598
